sampleName,MFGroup,Sample.ID.TA,ENSMUSG00000027273_Snap25,ENSMUSG00000070570_Slc17a7,ENSMUSG00000070880_Gad1,ENSMUSG00000024411_Aqp4,ENSMUSG00000050121_Opalin,ENSMUSG00000029231_Pdgfra,ENSMUSG00000038642_Ctss,ENSMUSG00000061718_Ppp1r1b,ENSMUSG00000051920_Rspo2
1055_0001,Control,LM_1.1_1.2,13.557402661872686,10.881765646257236,10.518060381234063,8.557799355194625,8.450052496434331,8.066039449971676,10.004939333165321,10.542337115215682,8.136171021483582
1055_0003,Control,LM_3.1_3.2,14.263874886036826,12.176038624149381,9.460554008786739,7.893427881811244,8.244873674332839,8.137748865133482,9.27725345214088,9.041923572182974,9.124293872849194
1055_0004,Control,LM_4.1_4.2,13.812656094530244,12.147180263653649,9.343928244234396,7.926639206189962,8.377279963619587,7.409925953436303,9.18441440158382,9.25483973268959,8.17818150033097
1055_0005,Control,LM_5.1_5.2,13.53111212389821,11.985298086914554,9.25228692423351,7.567018471706131,8.363361636878903,7.664757333654617,8.655842429292344,8.581415310933803,9.0620117404955
1055_0012,Control,LM_14.1_14.2,13.341989933800452,11.710710492845266,9.984072833284054,8.246728851439359,8.334759349011888,8.0172122870588165,9.270764050172982,9.287918430638086,8.010673078342744
1055_0006,Cre,LM_6.1_6.2_6.3,13.09993677114824,10.746860869739363,9.833895361916897,9.134959708241698,8.578388885443244,8.01984991274362,11.673070454865792,8.351523921846523,7.937997973209523
1055_0007,Cre,LM_7.1_7.2,13.181945924325095,11.41268545493155,9.418731141572763,9.792436496243381,8.676288850457746,7.6906316715770116,12.149471541124498,8.480433677368719,8.595639316231917
1055_0008,Cre,LM_8.1_8.2,13.481180395884227,11.554431884533672,9.34807374570721,8.88983680127763,8.182731296683707,7.929269753930549,11.008047946160978,8.93492196532842,8.47065967722798
1055_0009,Cre,LM_9.1_9.2,13.715894069270082,11.338613596474865,10.08764365159429,9.837372278307457,8.178190767236169,8.093912725969231,11.739140078432163,8.803851976035334,8.481968277299554
1055_0010,Cre,LM_11.1_11.2,13.367832675204593,11.051829524383795,10.0438582922334,8.823852907037525,8.051677717560267,8.283297069023586,9.660974551293705,8.718999959632946,8.000562524986943
1055_0011,Cre,LM_12.1_12.2,13.885032094304234,11.776876040741241,9.399858987066436,8.588443551837543,8.279979607049459,7.2505694981081446,10.720382817716594,9.489133436321206,8.800856208959683
