gene,1055_0001_Control,1055_0003_Control,1055_0004_Control,1055_0005_Control,1055_0006_Cre,1055_0007_Cre,1055_0008_Cre,1055_0009_Cre,1055_0010_Cre,1055_0011_Cre,1055_0012_Control
ENSMUSG00000024163_Mapk8ip3,39.46,37.8,38.15,36.48,36.160000000000004,36.93,31,34.47,39.89,41.620000000000005,55.49
ENSMUSG00000024165_Hn1l,4.23,0.8400000000000001,0.15000000000000002,1.86,2.4299999999999997,2.73,0.16,0.45,6.48,0.76,1.1300000000000001
ENSMUSG00000024168_Tmem204,6.359999999999999,2.8299999999999996,6.57,1.12,0.41000000000000003,5.83,3.48,6.03,3.64,2.17,2.96
ENSMUSG00000024169_Ift140,3.6,2.27,3.44,3.18,3.17,1.83,2.04,1.33,1.77,1.36,3.9299999999999997
ENSMUSG00000024170_Telo2,13.139999999999999,12.860000000000001,7.359999999999999,11.18,14.75,7.14,12.61,3.8,18.88,10.81,25.939999999999998
ENSMUSG00000024172_St6gal2,6.29,5.6899999999999995,1.28,0.52,3.09,3.7800000000000002,4.37,2.2800000000000002,5.71,0.52,4.64
ENSMUSG00000024176_Sox8,21.97,11.8,16.86,12.629999999999999,10.94,8.76,12.450000000000001,12.16,22.04,8.5,15.12
ENSMUSG00000024177_Nme4,11.860000000000001,7.42,16.32,11.39,27,13.29,10.1,12.41,20.919999999999998,24.58,8.34
ENSMUSG00000024180_Tmem8,4.109999999999999,4.64,6.06,0.62,7.72,2.7,6.470000000000001,4.91,2.59,2.01,3.8
ENSMUSG00000024181_Mrpl28,306.65000000000003,255.29,356.78,291.09,229.93,251.26,265.19,268.34000000000003,274.88,224.09,277.08
ENSMUSG00000024182_Axin1,2.08,3.63,3.3,4.51,1.92,1.74,3.4699999999999998,3.24,2.17,0,3.2600000000000002
ENSMUSG00000024186_Rgs11,32.56,23.89,23.830000000000002,23.16,17.77,15.93,28.51,19.77,11.07,36.51,25.05
ENSMUSG00000024187_Fam234a,9.16,2.98,7.3,1.93,2.8299999999999996,4.99,3.5,2.8,3.56,2.2800000000000002,3.73
ENSMUSG00000024188_Luc7l,30.52,35.39,24.259999999999998,32.379999999999995,20.959999999999997,18.35,31.32,30.259999999999998,39.89,25.49,30.84
ENSMUSG00000024190_Dusp1,25.89,29.310000000000002,63.190000000000005,27.22,30.29,19.97,17.97,32.94,36.05,26.939999999999998,22.14
