sampleName,MFGroup,Sample.ID.TA,ENSMUSG00000027273_Snap25,ENSMUSG00000070570_Slc17a7,ENSMUSG00000070880_Gad1,ENSMUSG00000024411_Aqp4,ENSMUSG00000050121_Opalin,ENSMUSG00000029231_Pdgfra,ENSMUSG00000038642_Ctss,ENSMUSG00000061718_Ppp1r1b,ENSMUSG00000051920_Rspo2
1011_0002,Control,6,14.486100193114543,13.722299186039237,9.719386300387182,9.136843117897337,9.010225852978794,8.564504015986344,9.413590136087098,9.696290760091298,9.465426174774061
1011_0003,Control,7,14.318636690401387,13.520232285732583,9.644090164293269,9.167355333921664,9.907428429216766,8.76972464220995,9.409984495293315,10.211483544427827,9.779111224879635
1011_0005,Control,9,14.318483017093502,13.548527182408225,9.593183460912872,8.891451760239077,9.104683333185706,8.493334396648402,9.449080103793214,10.018291184724774,9.18016765150296
1011_0006,Control,12,14.257158214632016,13.495620330761108,9.89231683042896,8.90925940679704,9.582291943544078,8.605595328730136,9.6159404753019615,9.855955382816854,9.704319994727822
1011_0009,Control,17,14.833319442105049,14.028759845973923,9.791281585957655,9.31852101530546,9.040141788685428,8.768790770800281,9.388011436733853,10.00739523231869,9.967843285177093
1011_0010,Control,18,14.767237610425804,14.132006045182406,9.730636870972162,8.934040467323703,8.765158687228851,8.930478684203866,9.338659968341652,9.881946817474788,10.106053106390787
1011_0019,Control,27,14.857824495698608,14.057805524949703,9.728075553266995,9.079757201957534,8.447771335192142,8.594494522450308,9.233803046110552,9.824089255388623,9.825799026341492
1011_0020,Control,28,14.90370519225091,13.889281520544747,10.165309710735253,8.953603662690346,8.767850682066488,8.580925962040507,9.382078398484397,9.949755160800715,9.763101914339705
1011_0001,CSS,4,14.271241165369783,13.3794811010275,10.10427647021435,8.690941455761084,9.112811037541057,8.575914703186214,9.256511904787617,10.963018166954688,9.356579060811182
1011_0004,CSS,8,14.348796883519363,13.311638423127738,9.609259829652894,9.22921649898738,9.044419170333573,8.355845678881652,9.161586611532234,9.811703610147804,9.388792069335487
1011_0007,CSS,15,14.672006632978118,14.113278090372763,9.57327219780352,8.891224164727687,8.91932619124312,8.620576907746734,9.464170198120936,9.938115625712715,10.184525490220835
1011_0008,CSS,16,14.801453372445291,14.251806999530766,9.618325004447238,9.046341064357486,8.818735208725068,8.675323463834758,9.379532591789898,10.023454355910149,9.958723633903325
1011_0011,CSS,19,14.449185198511776,13.796237546320883,9.964555903746527,9.168498690874966,9.146088270752049,8.521223947141896,9.536964943744586,10.176026714150842,9.334462661417543
1011_0012,CSS,20,14.609783365977833,13.61756472101243,9.828946634056688,9.121580111127257,8.292041230861363,8.55498864431075,9.361059314102132,10.324719847480749,10.038782901205131
1011_0013,CSS,21,14.563836962552775,13.82249284349191,10.006921984635131,9.63992614106464,9.352485104029952,8.679368773254696,9.543309505783066,10.74342708538721,9.366424772605779
1011_0014,CSS,22,14.439816618433214,13.767090209479527,9.837267078634847,9.100298440925597,8.906963922524298,8.43394585436057,9.064733604275862,10.542893481631584,9.215516566029375
1011_0015,CSS,23,14.470981640699463,13.745114992279381,9.55404636330762,9.351563870467903,9.189560662847319,8.837877778390064,9.455222291093303,10.441983443186198,9.597685501222555
1011_0016,CSS,24,14.491881663407225,13.507655639537607,9.61084438611965,9.040107808029955,8.686724255263465,8.40938135565623,9.242413945812029,9.991735720585002,10.01936966728582
1011_0017,CSS,25,14.687201544099795,13.48631200544975,10.688604884905756,8.890657356636178,9.68080905748844,8.82023740529768,9.340200727305863,10.565410313642284,9.715770063842635
1011_0018,CSS,26,14.80723926876262,13.946441193840908,9.908734253266328,9.770697479936201,9.375891840379023,8.949828133832641,9.653755378835871,10.076460603295665,9.823672792695165
1011_0021,CSS,29,14.929275984687626,14.125639200911937,9.967111595080015,9.30370761674577,8.371198977024443,8.34011953809011,9.494680661759332,9.46827333391426,10.472823182446552
1011_0022,CSS,30,14.130559329030865,13.494187206171382,10.84163724913813,10.823371681556521,9.029281849842645,8.956925364683537,9.769358233642517,10.245809117168317,9.308762760699992
1011_0023,CSS,31,14.499449914368869,14.0848250721749,10.20172424426066,10.127487239288905,9.061894211238641,8.965233536951935,9.656091513043458,10.248304296121022,9.945492612513162
1011_0024,CSS,32,14.187491963505787,13.14273397228016,9.29381236936223,9.240300553037287,9.45985411216606,9.088857570729301,9.664943662724264,9.796440693253837,9.690559603678906
