gene,1011_0001_CSS,1011_0002_Control,1011_0003_Control,1011_0004_CSS,1011_0005_Control,1011_0006_Control,1011_0007_CSS,1011_0008_CSS,1011_0009_Control,1011_0010_Control,1011_0011_CSS,1011_0012_CSS,1011_0013_CSS,1011_0014_CSS,1011_0015_CSS,1011_0016_CSS,1011_0017_CSS,1011_0018_CSS,1011_0019_Control,1011_0020_Control,1011_0021_CSS,1011_0022_CSS,1011_0023_CSS,1011_0024_CSS
ENSMUSG00000010205_Raver1,2.8,2.46,3.51,1.51,3.63,0.54,3.21,3,6.83,2.4899999999999998,4.98,0.45,6.41,4.49,1.55,0.61,4.83,1.98,1.8800000000000001,1.8900000000000001,3.8699999999999997,4.87,15.59,4.79
ENSMUSG00000010277_2610507B11Rik,13.360000000000001,14.89,6.88,9.49,7.4,9.33,16.67,12.16,19.16,12.93,16.52,9.729999999999999,14.41,19.939999999999998,19.62,10.02,14.58,15.239999999999998,18.7,19.27,19.55,26.279999999999998,27.88,22.38
ENSMUSG00000010290_AI597479,5.319999999999999,3.96,5.159999999999999,6.4,11.26,7.76,11.03,2.48,10.639999999999999,3.09,6.98,1.62,7.02,2.57,8.860000000000001,8.81,7.44,7.45,10,2.32,6.819999999999999,5.26,11.93,0.8700000000000001
ENSMUSG00000010307_Tmem86a,23.88,18.01,13.77,14.84,6.39,15.17,21.650000000000002,10.83,16.07,11.56,15.58,12.229999999999999,33.120000000000005,11.97,20.45,27.55,28.29,31.310000000000002,21.259999999999998,11.79,9.41,19.43,27.979999999999997,16.259999999999998
ENSMUSG00000010358_Ifi35,8.84,0.12000000000000001,3.8,3.3699999999999997,0,3.34,3.79,1.37,4.6,1.47,6.38,3.67,12.96,2.2600000000000002,2.7600000000000002,5.609999999999999,6.39,7,0.74,3.07,0,9.8,37.839999999999996,16.810000000000002
ENSMUSG00000010362_Rdm1,19.82,4.96,7.91,6.98,17.58,9.209999999999999,8.57,5,4.79,7.57,10.52,7.359999999999999,10.9,2.48,7.2,0.23,9.639999999999999,11.3,4.109999999999999,10.15,7.56,11.57,11.92,11.739999999999998
ENSMUSG00000010376_Nedd8,1460.46,1354.11,1429.8899999999999,1844.74,1390.48,1484.82,1293.46,1362.32,1216.1699999999998,1298.53,1266.1,1606.6599999999999,1243.83,1322.46,1081.05,1379.3,1233.86,1438.37,1357.26,1630.8,1348.95,1134,836.48,1398.71
ENSMUSG00000010392_Gosr1,6.38,4.84,6.28,2.23,3.2600000000000002,2.7800000000000002,6.2,2.5,10.47,8.39,3.59,2.13,4.05,9.69,9.67,1.62,6.63,3.34,4.6,7.52,12.79,8.07,11.15,4.1
ENSMUSG00000010406_Mrpl52,360.41999999999996,333.05,398.04,431.04,400.74,432.21,347.47999999999996,346.86,326.05,347.31,341.34000000000003,493.58,298.47999999999996,355.91999999999996,319.41999999999996,327.45,327.85,304.6,315.12,309.31,308.71999999999997,286.92999999999995,290.12,475.28
ENSMUSG00000010453_Kansl3,5.6499999999999995,12.639999999999999,7.63,6.72,14,3.23,11.52,8.84,4.57,4.7,11.66,6.859999999999999,9.209999999999999,16.66,8.54,11.31,5.659999999999999,13.83,10.04,10.11,9.61,13.5,17.86,1.5
ENSMUSG00000010492_Uckl1os,0,0.62,0.25,0.16,0.28,0.15000000000000002,0.07,5.02,1.28,0.45,0.25,2.15,3.7600000000000002,0.32999999999999996,2.8899999999999997,0.46,0,0.26,0.63,0,0.9,2.54,6.87,0
ENSMUSG00000010505_Myt1,0.15000000000000002,1.23,0.72,1.34,0.75,0.56,0.91,0.97,0.76,0.03,0.2,0.91,0.06,1.24,0.7899999999999999,0,2.51,0.8600000000000001,2.14,2.16,0.03,0.33999999999999997,0,3.34
ENSMUSG00000010517_Faf1,8.47,13.38,5.46,3.08,14.77,4.819999999999999,6.5,1.73,5.17,10.06,10.25,6.9,11.98,6.159999999999999,6.619999999999999,9.360000000000001,14.729999999999999,11.04,8.33,8.06,12.02,7,10.04,6.1499999999999995
ENSMUSG00000010538_Tsacc,12.6,14.870000000000001,14.5,13.82,17.41,11.81,19.830000000000002,7.48,7.55,5.04,6.42,8.729999999999999,11.82,20.24,6.609999999999999,16.650000000000002,7.64,19.23,4.5,8.129999999999999,12.46,9.82,12.06,9.55
ENSMUSG00000010554_Mettl16,11.26,7.24,13.92,10.88,17.5,13.27,5.28,8.07,7.44,12.139999999999999,18.919999999999998,14.57,8.6,11.870000000000001,24.02,6.7,6.859999999999999,11.61,13.209999999999999,7.359999999999999,15.56,15.59,20.34,9.33
ENSMUSG00000010592_Dazl,1.22,2.8699999999999997,2.22,2.32,0.59,3.6,2,3.29,3.57,1.82,0.88,6.14,1.95,2.05,0.61,0,2.16,1.62,6.18,0.35,1.72,0.5,1.1,0.31
ENSMUSG00000010607_Pigyl,203.13,210.76999999999998,234.87,284,227.26,329.9,196.38000000000002,225.7,177.07,202.73,187.29,231.53,236.26999999999998,241.99,199.83,251.34,190.79,160.15,208.39000000000001,227.87,174.10999999999999,150.34,198.66,203.26
ENSMUSG00000010608_Rbm25,85.16,79.16999999999999,69.66,62.67,64.89,78.22,64.26,59.55,55,87.92,98.22,121.7,124.33,93.61999999999999,78.46000000000001,60.39,69.6,79.75,114.46000000000001,89.86999999999999,91.05,90.61999999999999,82.86,58.3
ENSMUSG00000010609_Psen2,17.55,11.19,15.709999999999999,9.97,7.33,23,15.88,7.98,10.31,21.52,13.16,15.15,12.89,13.639999999999999,20.24,7.13,23.4,16.52,8.209999999999999,13.83,9.59,23.99,15.25,17.29
ENSMUSG00000010660_Plcd1,4.13,0.33999999999999997,0.3,2.6,1.84,3.27,2.25,3.17,1.7,0.06,3.66,0,2.25,3.15,6.57,2.02,0.42000000000000004,1.8900000000000001,2.64,0.6,3.24,4.1899999999999995,10.96,0.27
ENSMUSG00000010663_Fads1,28.09,19.1,22.43,16.08,28.85,19.62,15.709999999999999,20.43,16.55,19.150000000000002,25.959999999999997,16.23,35.190000000000005,29.71,34.43,15.31,26.12,23.87,23.55,25.130000000000003,15.08,60.190000000000005,69.07,20.77
ENSMUSG00000010721_Lmbr1,9.46,17.27,9.03,5.930000000000001,8.5,9.96,6.64,11.26,7.1899999999999995,5.4,21.87,6.31,7.659999999999999,4.41,13,9.69,17.91,17.259999999999998,14.55,14.129999999999999,18.54,15.19,7.109999999999999,4.63
ENSMUSG00000010755_Cars,28.97,25.01,32.57,17.459999999999997,18.810000000000002,35.849999999999994,33.04,16.279999999999998,22.52,18.25,35.96,31.93,44.839999999999996,30.35,33.13,26.419999999999998,14.68,27.84,34.99,38.760000000000005,38.160000000000004,28.779999999999998,42.55,22.2
ENSMUSG00000010803_Gabra1,61.59,75.16,53.04,47.11,66.99000000000001,45.339999999999996,54.56,59.4,55.61,60.660000000000004,62.78,72.36,71.76,67.01,69,46.89,85.31,91.6,61.11,68.14,82.01,59.309999999999995,75.28,38.120000000000005
ENSMUSG00000010911_Apip,49.39,47.99,70.11,47.82,49.879999999999995,50.4,57.82,63.86,42.7,58.1,49.839999999999996,42.04,44.39,49.92,72.52,54.75,62.379999999999995,64.06,39.64,42.379999999999995,39.230000000000004,50.57,26.51,62.28
ENSMUSG00000010914_Pdhx,19.89,27.16,24.650000000000002,12.55,19.919999999999998,15.81,24.52,33.15,26.86,38.08,32.809999999999995,14.16,29.17,24.310000000000002,19.36,24.69,27.130000000000003,28.84,34.48,23.979999999999997,35.74,30.8,31.24,33.28
ENSMUSG00000010936_Vac14,9.12,5.76,8.43,10.61,6.1499999999999995,2.96,9.05,7.83,10.32,16.279999999999998,9.06,3.8899999999999997,14.5,8.629999999999999,8.02,3.3299999999999996,6.48,14.48,12.370000000000001,6.37,8.3,12.48,17.459999999999997,8.17
ENSMUSG00000011096_Akt1s1,62.260000000000005,99.11,87.05,57.67,72.84,60.08,75.85,66.43,97.01,72.32,95.96000000000001,60.48,81.39,91.4,95.82,68.25,55.41,95.71000000000001,82.08,79.23,78.64999999999999,63.120000000000005,95.59,53.720000000000006
